symbol,full_symbol,exchanges,logoUrl,volume_24h_usd,category,analyzed_at,hurst_1h,hurst_2h,hurst_4h,hurst_12h,hurst_1d,entropy_1h,entropy_2h,entropy_4h,entropy_12h,entropy_1d,trend_quality_1h_w20,trend_quality_2h_w20,trend_quality_4h_w20,trend_quality_12h_w20,trend_quality_1d_w20,mr_quality_1h_w20,mr_quality_2h_w20,mr_quality_4h_w20,mr_quality_12h_w20,mr_quality_1d_w20,swing_quality_1h_w5,swing_quality_2h_w5,swing_quality_4h_w5,swing_quality_12h_w5,swing_quality_1d_w5,movement_efficiency_1h,movement_efficiency_2h,movement_efficiency_4h,movement_efficiency_12h,movement_efficiency_1d,fractal_dimension_1h,fractal_dimension_2h,fractal_dimension_4h,fractal_dimension_12h,fractal_dimension_1d,adx_above_25_pct_90d_1h,adx_above_25_pct_90d_2h,adx_above_25_pct_90d_4h,adx_above_25_pct_90d_12h,adx_above_25_pct_90d_1d,di_plus_dominant_pct_90d_1h,di_plus_dominant_pct_90d_2h,di_plus_dominant_pct_90d_4h,di_plus_dominant_pct_90d_12h,di_plus_dominant_pct_90d_1d,smoothness_index_1h_w20,smoothness_index_2h_w20,smoothness_index_4h_w20,smoothness_index_12h_w20,smoothness_index_1d_w20,skewness_1h_w50,skewness_2h_w50,skewness_4h_w50,skewness_12h_w50,skewness_1d_w50,kurtosis_1h_w50,kurtosis_2h_w50,kurtosis_4h_w50,kurtosis_12h_w50,kurtosis_1d_w50,movement_intensity_1h_w14,movement_intensity_2h_w14,movement_intensity_4h_w14,movement_intensity_12h_w14,movement_intensity_1d_w14,atr_stability_1h_w14,atr_stability_2h_w14,atr_stability_4h_w14,atr_stability_12h_w14,atr_stability_1d_w14,mci_1h,mci_2h,mci_4h,mci_12h,mci_1d,jagginess_1h_w20,jagginess_2h_w20,jagginess_4h_w20,jagginess_12h_w20,jagginess_1d_w20,btc_corr_1d_w30,btc_corr_stability_current_correlation,btc_corr_stability_correlation_std,btc_corr_stability_correlation_stability_score
GMT/USDT:USDT,GMT/USDT:USDT:USDT,['binanceusdm'],gmt.png,6624495.32737,3,2025-11-17 23:14:11.064,0.4352443196591368,0.299330184985046,0.4352259295324439,0.11171927521550139,0.41722267140269603,1.885161086780151,0.6950843364204662,0.9794973769563632,1.746758290929115,2.0690922528698383,0.4014868408533347,0.39058636855101464,0.39602200665388065,0.38083942915187585,0.4063365133093098,0.82903491637921,0.8288700220578129,0.8092270649015875,0.6985869038423148,0.7525765268332318,0.8684800893262272,0.768413424230808,0.7784695129340891,0.30497845815953417,0.23401352239131223,-0.093525179856115,-0.15551839464882933,-0.1250645994832041,-0.2165805720045357,-0.21726025224081863,0.7485884438299588,0.874047990224425,0.8102257802228341,0.803390460549879,0.8509135534872715,40.0,17.77777777777778,64.44444444444444,90.0,52.22222222222223,20.0,14.444444444444443,7.777777777777778,11.11111111111111,11.11111111111111,0.9783793530381475,0.9709271176455826,0.972500049812166,0.9491598491243003,0.8860228265772659,-0.6162242557978047,0.9343647991688989,-0.4029498394771091,0.11841116270976723,-2.679489009237929,3.9099800733229753,5.234598292084181,4.572336791624208,4.691719575094211,17.45772747505545,0.00020810002564164467,0.00020869097940858172,0.0003325173441966395,0.0006392278422435039,0.0007730301939371491,0.1370565306086662,0.048230667150431436,0.03668840664277115,0.030800800911831034,0.05483931712901068,-0.03953135549784551,-0.2586420341727268,-0.07906123400560239,-0.40478844976628675,-0.1235138115053115,0.6283730309628981,0.6209698306099377,0.5871187155599537,0.5822313181657136,0.6112788098136767,0.6583687367206907,0.6583687367206907,0.07737619876775947,0.9226238012322405
AAVE/USDT:USDT,AAVE/USDT:USDT:USDT,"['binanceusdm', 'bybit']",aave.png,189506594.259,6,2025-11-17 23:14:26.898,0.5262025822118133,0.4426999641870047,0.4691001228501956,0.38027455306774893,0.6284585182897766,1.7463507671896215,1.41697183263974,1.9046699123503965,2.355800710381171,2.5073523809404628,0.4072808800403372,0.41134270330062367,0.4146957242401016,0.4008740062189014,0.3655286024959641,0.8277003933814594,0.8338611185779379,0.8301724496773688,0.6699961470682029,0.7450506782589609,0.7865996861994748,0.5828546296308413,0.6162225204540981,0.4416598948353062,0.27387226531244346,-0.19599359924139179,-0.17800871605765997,-0.14986690773944045,-0.15358113706734894,-0.13752799277098965,0.7111000752220203,0.8308431949897362,0.7718788029913534,0.7373164363639916,0.7299627239627697,82.22222222222221,65.55555555555556,26.666666666666668,48.888888888888886,44.44444444444444,8.88888888888889,23.333333333333332,24.444444444444443,25.555555555555554,20.0,0.9743575830962575,0.9724701128870693,0.925421683973323,0.9079716819239732,0.8965858396616513,-0.8651694723034965,-0.01392475093037296,-0.6043866977356007,-0.2965477026843243,-0.9903016573001581,3.9716295438641382,2.528669450415689,3.4728912531231857,2.821683142343505,4.317705141310366,2.1083714304209735,2.067297186307694,2.8796324252078747,7.522752260239772,9.94323117656374,0.1842855490551854,0.07016058734447153,0.04237915415770139,0.04961518222511307,0.026003111969167686,0.07731420364524384,-0.08465095954880571,-0.019914334958935864,-0.08839730824896873,0.16956555406105261,0.4959660134603607,0.635226382201009,0.5969368733697334,0.4448866394655842,0.5004898857837424,0.8824795711610246,0.8824795711610246,0.10606791520981411,0.8939320847901859
METIS/USDT:USDT,METIS/USDT:USDT:USDT,['binanceusdm'],metis.png,5264437.8813,2,2025-11-17 23:14:46.526,0.5426615986300862,0.39326340416533856,0.45054892094924226,0.30334771335272864,0.5230001057269671,1.8548202305535777,1.1055119351772338,1.2217436306396237,1.8505194958693072,2.0800617296755646,0.3700569378635696,0.39006522775324276,0.39654212312351006,0.3692893813764171,0.34590710884671605,0.8309194872704736,0.8453878141643869,0.8050571651278746,0.6944460299930264,0.6825293872076827,0.5619314748435797,0.691682196292004,0.7266753015077996,0.12419785047161502,0.5363174204252807,-0.13817330210772824,-0.17246810521341938,-0.0553757973560137,-0.14358344041566568,-0.18077710984988418,0.7039832256625264,0.8856489302005691,0.8401321503152831,0.7755114063974808,0.826911350024929,30.0,36.666666666666664,66.66666666666666,76.66666666666667,37.77777777777778,2.2222222222222223,40.0,53.333333333333336,30.0,22.22222222222222,0.9720692555794781,0.9637374026045958,0.9585496099713503,0.92043404304086,0.9172909002859203,-0.3659706324148707,0.37095146130028517,-0.19893695141782985,0.6959997650954205,-2.439116701137663,3.3774147732299715,3.0855285709760167,2.8213148851760304,4.06312339246913,15.288825157816728,0.10376858105468656,0.0985991138960455,0.13240507116419567,0.28225332276910303,0.4280440485758049,0.13251488501441233,0.05055211075643454,0.05483351393912335,0.0948035134088739,0.08080172732794066,0.09867120140872496,-0.1702283105040748,-0.08259627853751927,-0.19137803861804978,-0.00019162617108955948,0.5577693259225213,0.6402969387395385,0.586251874969461,0.5971083923499974,0.6259411711846229,0.6201033162375637,0.6201033162375637,0.07894030105821365,0.9210596989417863
ETHFI/USDT:USDT,ETHFI/USDT:USDT:USDT,"['binanceusdm', 'bybit']",ethfi.png,54168164.52802,5,2025-11-17 23:15:02.489,0.5796207315659807,0.3752882895231989,0.4211366220460674,0.19788582496621535,0.6819203228826939,1.9426437950899713,1.3357746762905103,1.6212941872707423,2.1049497152211782,2.4492361425090325,0.3855531307099331,0.4179254274100874,0.42831445297974946,0.41295193425207205,0.38170064288477323,0.8035723075529946,0.8469211400814118,0.8614764665732473,0.8630812108645316,0.8000585340199518,0.6954611146152192,0.6878431219112454,0.4388330328624233,0.5670380546190041,0.04794518913765937,-0.06988801327250099,-0.09265760952526328,-0.07921086547040745,-0.17876354986078455,-0.06418884982420893,0.751174556105752,0.8546495648963368,0.7902850502557258,0.8185986160417819,0.7613662156694114,0.0,10.0,1.1111111111111112,76.66666666666667,65.55555555555556,18.88888888888889,40.0,38.88888888888889,21.11111111111111,50.0,0.9811584195659078,0.967629166708143,0.9622983846207434,0.9482483543735138,0.9108743904659773,-0.8117863413560903,1.2268169771514594,0.25595982483803387,0.3134108139681882,-0.8395409133358719,4.261299596821283,7.1013177367401745,5.038965056452368,3.717106438019921,9.456824462892651,0.009517638020633084,0.00917342570970886,0.014242303251925098,0.025456777807963342,0.04312843080880732,0.14894190344921732,0.052665906455944614,0.054006275432911345,0.031947844089219746,0.049346608063008515,0.10613374951549776,-0.16869887620501028,-0.08065555916977116,-0.3266122166232668,0.20398797248886663,0.635886619975192,0.6645600930655406,0.5841351795289589,0.6419699275326508,0.5701791339195612,0.6789905975199529,0.6789905975199529,0.1265082062392888,0.8734917937607112
MANTA/USDT:USDT,MANTA/USDT:USDT:USDT,['binanceusdm'],manta.png,7673936.39316,3,2025-11-17 23:15:18.578,0.5420404172862662,0.3280994300975474,0.43604974380472244,0.17005533067918305,0.46189760551710674,1.200472011274595,1.1764176261419228,1.4215123832671004,1.650364528064907,2.0510885003736052,0.42052019206272695,0.40126268195054354,0.3826160261662765,0.3546582328924774,0.4222339307256045,0.7879747610239012,0.8342404079491661,0.8142364631283444,0.7300653495680073,0.7711749628141158,0.39157240407563154,0.7754014531631861,0.7980515397700185,0.13827237112419855,0.4871903918537024,-0.02227880330999366,-0.024459078080903095,0.018743834265044383,-0.1314127861089187,-0.16051589835270078,0.7031105405662234,0.9017242414181391,0.8390605772230112,0.826328477209415,0.8676339231561286,30.0,22.22222222222222,63.33333333333333,62.22222222222222,47.77777777777778,44.44444444444444,63.33333333333333,66.66666666666666,38.88888888888889,20.0,0.9777498181016396,0.9532488498266376,0.946593943242999,0.9274014640480952,0.9046386082594399,-0.21865302165344047,1.2594593628974464,0.6485990520673355,1.2035420991689518,-2.3638105865493357,3.8256172852357158,5.0928533613694995,3.2072125202777575,6.186823727153909,15.607967036923492,0.0016060342869024104,0.0019082940789556075,0.002631193481824852,0.005789020641294222,0.0058340914397270885,0.18204473165256793,0.06356890506163189,0.07217874075274779,0.048145313015132224,0.059850745330690715,0.09859675641789403,-0.2470268482715871,-0.09670445142803763,-0.35996571939148425,-0.08864532972679194,0.5553608273343251,0.5791709584456795,0.5356183732849081,0.49088885430213497,0.6002416929285157,0.519511235586677,0.519511235586677,0.08907065997038369,0.9109293400296163
FIDA/USDT:USDT,FIDA/USDT:USDT:USDT,['binanceusdm'],fida.png,4074575.60557,1,2025-11-17 23:15:33.780,0.5472638711191214,0.3866852784688834,0.45735080476975526,0.3109522389084528,0.5240022282313567,1.8769932404946135,1.2490077851610428,1.5271400910463493,1.8302356745800286,2.2048897329261354,0.3799447316905742,0.4047669725884501,0.4442838533014214,0.3681770614961915,0.3697471733206977,0.7852088687423974,0.8478786639049458,0.8304058265478386,0.7156242544162517,0.7313712581519096,0.704727800388947,0.7076776021984645,0.7395930337613188,0.3017361072078565,0.3168257764918574,-0.11669405963841285,-0.21207256381441633,-0.09794709427024814,-0.18450434194203225,-0.18172404054350894,0.7053813843943991,0.8780787732311113,0.8135588114821829,0.7787717437132101,0.7715011825066888,48.888888888888886,43.333333333333336,51.11111111111111,74.44444444444444,38.88888888888889,12.222222222222221,6.666666666666667,35.55555555555556,26.666666666666668,27.77777777777778,0.9779350669129842,0.9703241934309303,0.964070113397963,0.9237642809020873,0.914714040187582,-0.7310760489953607,0.22255542699956096,-0.5984409895148536,-0.3996736659074957,-2.3875191105920934,4.779865665510123,2.6946462365177637,3.7843947481281464,3.447968757764637,13.697275009018206,0.0005111925547256059,0.0005473393181900886,0.0007126376170925339,0.0013671640261252302,0.0019491169967369622,0.15635414846278325,0.0569252850935835,0.04978562166524782,0.05387542433882162,0.05383087683499245,0.1024711422287535,-0.17208801893971148,-0.058621389201806,-0.18570827848100438,0.036350285965699544,0.6093000376910437,0.6282350690853542,0.6317553825320912,0.6098948839510975,0.6581166933218767,0.6104653357918147,0.6104653357918147,0.09085685554058834,0.9091431444594117
AVAAI/USDT:USDT,AVAAI/USDT:USDT:USDT,['binanceusdm'],avaai.png,6420661.43983,2,2025-11-17 23:15:47.875,0.6259078669468523,0.45312786692283114,0.46238861718154245,0.400251383692428,0.41903940978749,1.7388987581630917,1.104128840986524,1.2028958548999855,1.770606980036675,1.7191890819807627,0.348560944488607,0.3969839843978599,0.3671765129498058,0.26401912526981564,0.4234702390962719,0.7661540301922859,0.841110659498491,0.7546906852856724,0.6145570616232943,0.7270610917112099,0.6308109503262282,0.4910188348656108,0.7480307566705442,0.13897296939369677,0.47896062693688857,-0.032899770466717645,-0.13761467889908255,-0.09661835748792269,-0.09498264436730824,-0.3262242638011647,0.7032803253870403,0.8849250961180337,0.8866631158578575,0.7857681452796147,0.99,60.0,67.77777777777779,24.444444444444443,28.888888888888886,10.0,37.77777777777778,14.444444444444443,54.44444444444444,62.22222222222222,27.77777777777778,0.9664919129300132,0.9672630091782678,0.9421390653637256,0.9037833916321082,0.9160573550484177,-0.6787286784993992,-0.11450650237084757,-0.9374864183159443,0.4190640501488137,-3.1152995660406173,4.029830376331761,2.8555573182810496,4.049760091251485,3.443678948649328,21.632568283238303,0.0001556204308413487,0.00021801278392623722,0.00021666179491078449,0.0004092970694275202,0.0005016309103017781,0.09103150797768064,0.12131039737128238,0.07030387333607474,0.07000265379888745,0.08102551307933976,0.1840669502601976,-0.10867812781008401,-0.10034249786596947,-0.09907157496980289,-0.21081797536075064,0.5941697876824961,0.528482258940305,0.6383033331721077,0.6408975677242379,0.6977971436245378,0.44758282447849285,0.44758282447849285,0.07793203241879508,0.9220679675812049
1000BONK/USDT:USDT,1000BONK/USDT:USDT:USDT,"['binanceusdm', 'bybit']",1000bonk.png,83684626.898325,6,2025-11-17 23:16:03.667,0.48306394590408075,0.3787058788749698,0.453448121545324,0.2374754043777128,0.4772702975805519,1.8485310721883765,1.0586375664582914,1.4001773387948637,1.781833226292759,2.070897352217022,0.4225171683376042,0.41723664153555573,0.4494384119885675,0.33030837536012964,0.49673736452127953,0.827910480247545,0.8348766268779468,0.8439122403264043,0.6494433901296123,0.8698411650746792,0.8578425714180327,0.6862181801026701,0.6511741846676211,0.2904099423764141,0.051721882983971804,-0.1890172048079189,-0.24318236666398524,-0.19508323127863203,-0.17014902442771548,-0.20179957414657596,0.7390901902869469,0.8981896106530515,0.8160269392401732,0.8020196552284543,0.7886672922333094,86.66666666666667,54.44444444444444,46.666666666666664,53.333333333333336,50.0,3.3333333333333335,11.11111111111111,22.22222222222222,15.555555555555555,11.11111111111111,0.9751805635269636,0.962320220684849,0.9439980914585333,0.9190592414596461,0.8741988928909359,-0.8859469210076159,0.04225646922171627,-0.850845503450819,-0.04724405839327182,-2.1447699053909197,4.204132884574224,2.6521375500263145,3.9925146775643823,4.094380809828264,12.646468876629978,0.00011646461503130488,0.00010928417627297235,0.0001644867265155116,0.000343326210497894,0.000529715774803572,0.17699732717072045,0.05707630814829751,0.03272148003719123,0.05164176320985751,0.06566938994099486,0.015352805552824467,-0.19312182587325843,-0.06418585220085316,-0.2755871476286324,-0.022339274046953343,0.6033408143945651,0.5956125901999682,0.5712766505301323,0.5350858153970237,0.5569449823423059,0.7484717108266735,0.7484717108266735,0.12099524809797861,0.8790047519020214
MELANIA/USDT:USDT,MELANIA/USDT:USDT:USDT,"['binanceusdm', 'bybit']",melania.png,8475282.088142,3,2025-11-17 23:16:22.473,0.3555131156502192,0.2868003441998118,0.41639722089104136,0.30532078195514495,0.34511705171524154,0.9050119779383345,0.8551992113655463,0.8574333122895615,1.568676036660399,1.8184202851364843,0.37131461992304354,0.4016307431771629,0.3908095204257104,0.5030109424175384,0.40639048090073815,0.830245323354088,0.8424027763036486,0.7767117255970526,0.7941844823344774,0.8030236292000852,0.6567135140073612,0.5903093961858892,0.6397917652996897,0.033693167218227286,0.1530191865891088,-0.14646464646464635,0.04567247035074442,0.030384271671134975,-0.06481307533345852,-0.12274019906561037,0.7731630606508864,0.8790294075155582,0.8325029295369069,0.7921596879430627,0.9323995379131874,11.11111111111111,61.111111111111114,61.111111111111114,82.22222222222221,55.55555555555556,47.77777777777778,68.88888888888889,72.22222222222221,55.55555555555556,27.77777777777778,0.9812584983194294,0.9683502404790555,0.9491220756041007,0.8255739676956746,0.8355487230329882,0.20236115717795314,-0.2597079146183492,1.4896280018396866,2.4697770022384664,0.2949259137202637,4.558618375774224,4.674245303360278,10.150918054555152,10.67422867087755,9.428461208904679,0.000942098260111639,0.0012896215643611558,0.0018875838749143575,0.00475266232219357,0.010046470258428654,0.05055478256658516,0.08851486649566517,0.13114360661468663,0.08253204090162272,0.19989962734559566,-0.13664268643611108,-0.27462080220665924,-0.11255442592631093,-0.20003667865919367,-0.24932557985292178,0.6050453202211964,0.6421907721443751,0.6285949826047682,0.6951683644019041,0.6084724122158556,0.45806871380792613,0.45806871380792613,0.1326034930934974,0.8673965069065026
SANTOS/USDT:USDT,SANTOS/USDT:USDT:USDT,['binanceusdm'],santos.png,4109601.5095,1,2025-11-17 23:16:41.422,0.5263184975049731,0.3603930295592267,0.3935509635832787,0.201797362001534,0.47264676536263733,1.7274536974237187,0.8721430824686309,0.9183744562736843,1.9008387344584359,1.8969329753951174,0.41009271802040226,0.41645765346951225,0.45390706331667374,0.3900828750781128,0.4661774719709286,0.7862603529992728,0.8156911963965967,0.8183123603734431,0.8178180012633847,0.8138026891457274,0.7567007790046776,0.6203078662179743,0.6264378794822968,0.4897428484323587,0.16043585968956997,0.0019880715705764694,0.11883182275931511,0.10196445275958856,-0.082312591866732,-0.2338159427525379,0.691470508346993,0.8040057715762282,0.8471836093819768,0.7442374584108119,0.8050620016195956,22.22222222222222,77.77777777777779,83.33333333333334,90.0,68.88888888888889,60.0,97.77777777777777,73.33333333333333,37.77777777777778,35.55555555555556,0.9831239556445199,0.9731991314071485,0.9747336542251263,0.9082824215616939,0.9121131242722703,2.0185890032929428,0.7733751715570588,0.04281441711564818,0.4634199244729692,-2.725157097567293,10.270268429638026,7.386361859118819,4.132757754783578,4.460664962047408,16.643257214909124,0.010939801485542482,0.011244945776570387,0.018233797362663052,0.03373937721279174,0.04790631560265005,0.05152391165105739,0.07196855809671103,0.053159394590819704,0.10466170526254867,0.05206122619200579,0.09001554024575151,-0.15143415098921376,-0.1452776255915898,-0.2749534435637118,-0.0375665931590067,0.6017445655990172,0.6967414935229634,0.7214922365500284,0.6829799494878227,0.6073620122917639,0.22281276122063148,0.22281276122063148,0.23341828670438472,0.7665817132956153
