id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
155,BANANA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,banana.png,8.4107,0.5449,0.5715,0.5275,0.4479,0.0114,0.1333,0.0113,0.6979,7.7688,0.6559,-48.51,,0.6877,0.0284,1.8413243,2.0952468,2.627414,2.8469892
156,API3/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,api3.png,9.0625,0.5676,0.5698,0.593,0.61,0.0315,0.0444,0.1472,4.3815,11.6124,0.8011,-52.19,,32.3513,0.216,0.48320144,0.9131141,1.0338354,1.6368566
157,1000LUNC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,1000lunc.png,4.5882,0.453,0.4556,0.4336,0.3877,0.0749,0.0,-0.0073,-0.486,3.3466,0.5936,-24.83,,0.742,-0.115,2.4153447,2.751938,2.4130375,2.8148077
158,TURBO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,turbo.png,7.7379,0.6912,0.7242,0.7292,0.7191,0.0365,0.0222,-0.0251,2.2294,14.588,0.59,-46.61,,13.2131,0.0215,2.1287959,1.9626983,1.8718809,1.9974484
159,TUT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,tut.png,15.4565,0.8042,0.8391,0.8394,0.9608,0.0903,0.1,0.0839,3.9047,inf,0.9932,-34.62,,32.6522,-0.3118,1.0854815,0.786775,0.9832318,1.2317939
160,IOST/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,iost.png,4.4864,0.4853,0.4854,0.481,0.4284,0.0888,0.0,0.0993,0.8751,2.5318,0.5556,-34.37,,4.9615,-0.0357,1.9400219,1.9950783,2.4845583,2.3531568
161,SNX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,snx.png,10.9462,0.5855,0.6054,0.5726,0.6016,0.1653,0.0111,-0.0041,2.3482,inf,1.259,-26.29,,9.6331,-0.2343,1.7081118,1.834131,2.0907853,2.1228619
162,FET/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],6,fet.png,7.3082,0.5582,0.5704,0.5715,0.5527,0.1083,0.1111,0.0378,-0.1872,1.8518,0.4942,-41.62,,0.1218,-0.0657,2.350958,2.3584793,2.7307224,2.8938196
163,RED/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,red.png,9.3482,0.6037,0.5858,0.6135,0.613,0.0779,0.0,-0.0452,4.4053,6.4223,0.9782,-41.1,,31.6896,-0.1434,0.75501186,0.7660822,1.1896021,1.6498145
164,BTC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,btc.png,2.4708,0.6555,0.6864,0.677,0.7101,0.03,0.0,-0.0186,-0.2383,5.0331,0.7131,-12.26,,0.6347,-0.1168,2.0698876,2.5935776,2.6327307,2.8768373
165,HIFI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],5,hifi.png,42.6211,0.7887,0.7662,0.7489,0.5752,0.0071,0.0667,0.0359,8.3096,inf,0.7686,-82.53,,76.8088,0.064,1.1120437,0.65076345,0.739248,0.7433632
166,ZEC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,zec.png,11.4124,0.6764,0.8043,0.7945,0.9415,0.4892,0.1556,-0.0767,3.421,4.5751,3.4911,-23.91,,18.0992,0.0937,1.3391927,1.7128394,2.102995,1.7489312
167,FORM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,form.png,22.4382,0.7546,0.7597,0.7507,0.8392,0.2175,0.0889,0.0518,0.9988,6.1436,0.2455,-77.04,,6.5823,-0.0732,1.6442828,1.7511605,2.0633006,2.1333206
168,FUN/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,fun.png,5.8345,0.8986,0.9201,0.9147,1.0168,0.2126,0.0778,0.0173,1.1684,inf,0.3717,-62.36,,10.76,0.0273,1.0666518,1.327413,2.1113114,2.0227897
169,AR/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,ar.png,7.3153,0.5197,0.5261,0.4846,0.4114,0.0192,0.0444,0.0374,0.2982,11.604,0.6382,-37.2,,0.6092,-0.108,2.4088535,2.590119,2.549703,2.7953076
170,ALPHA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],6,alpha.png,7.3528,0.7062,0.7459,0.7731,0.8506,0.0665,0.0444,0.205,2.0336,3.3896,0.8481,-20.39,,8.3533,-0.2199,0.9306125,1.1228142,1.0313964,2.2449753
171,BSV/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",2,bsv.png,6.6518,0.5832,0.5809,0.5904,0.5614,0.0246,0.1111,-0.022,0.3452,5.0285,0.6529,-27.08,,3.0734,-0.0952,1.7404376,2.0670176,2.3357162,2.371119
172,NEIROETH/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],5,neiroeth.png,44.0245,0.9915,1.0653,1.033,1.1504,0.267,0.2111,0.094,0.0649,4.9388,0.0428,-94.79,,8.4067,0.0519,1.4330403,1.4403013,1.6414789,1.7728984
173,ETHFI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,ethfi.png,9.0985,0.7149,0.7384,0.7575,0.8078,0.0901,0.0667,0.0268,0.4359,3.9231,0.9984,-31.18,,1.4468,-0.0177,2.1461482,2.6734145,2.424792,2.7388067
174,LAYER/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,layer.png,6.48,0.9474,0.9881,1.0468,1.1492,0.1742,0.0444,0.0415,-0.517,2.1646,0.4122,-52.11,,0.417,-0.0224,2.267992,2.543043,2.4929636,2.9707985
175,XLM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,xlm.png,5.0858,0.6452,0.6768,0.6487,0.688,0.0147,0.0222,0.0089,1.2374,3.9602,0.6632,-29.59,,4.5107,-0.1517,2.0950766,2.2728796,2.439057,2.306751
176,AERO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,aero.png,8.2273,0.695,0.7009,0.7454,0.8059,0.0592,0.0889,0.0867,1.0429,4.008,0.9456,-34.55,,1.3305,0.0442,2.1000059,2.261246,2.378027,2.7590106
177,TON/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,ton.png,3.9898,0.4333,0.4288,0.4367,0.3753,0.054,0.1778,-0.0508,-0.8613,21.2573,0.6258,-25.34,,1.0984,-0.0336,1.9477895,2.1238477,2.4432976,2.7274356
178,KDA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,kda.png,6.3754,0.5945,0.6052,0.5931,0.5699,0.0703,0.0111,-0.0302,-0.0119,inf,0.5449,-41.19,,0.1332,-0.0599,2.382535,2.2559538,2.5768826,2.8602076
179,AXL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,axl.png,7.5526,0.4534,0.4656,0.4626,0.3819,0.0555,0.0444,0.0485,0.2062,2.9966,0.577,-36.15,,0.4515,-0.2094,1.8546181,2.1352718,2.553624,2.8385415
180,MOVE/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,move.png,6.9157,0.6926,0.709,0.6925,0.6828,0.107,0.0667,-0.011,-0.5915,4.0588,0.5024,-46.04,,1.3759,0.0483,2.0935798,2.1406808,2.4071293,2.7665503
181,PLUME/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,plume.png,10.7061,0.6433,0.6582,0.6344,0.6289,0.0085,0.0222,0.0363,1.0459,3.7892,0.669,-37.16,,2.8611,-0.1788,1.6346103,1.899565,2.3423674,2.6143339
182,BTCDOM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,btcdom.png,2.7238,0.5643,0.586,0.6071,0.6521,0.1765,0.0333,-0.0259,-0.3362,inf,0.5493,-27.96,,0.4491,0.0188,2.4479575,2.7509942,2.4445508,2.8281522
183,10000SATS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],1,10000sats.png,13.5653,0.5159,,0.4726,0.37,0.0435,0.0,0.0145,0.4922,2.951,0.5769,-34.8,,2.7047,0.0044,0.51437765,,2.079056,2.4444098
184,1000NEIROCTO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],2,1000neirocto.png,9.346,0.6218,,0.7367,0.7415,0.1386,0.0333,-0.016,-0.3213,inf,0.3874,-53.32,,0.022,-0.1704,2.4529147,,2.3348067,2.885196
185,1000TOSHI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],4,1000toshi.png,9.2797,0.6182,,0.6463,0.6292,0.148,0.0444,0.1447,3.1706,3.6185,1.2629,-29.07,,17.5214,-0.1315,1.556029,,1.3563048,1.9089154
186,AVL/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],1,avl.png,17.2245,0.6336,,0.6442,0.6145,0.0947,0.1222,0.1471,2.1228,inf,1.1408,-29.15,,11.6523,-0.03,1.8587489,,2.280088,2.0906436
187,BEAM/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],2,beam.png,8.0493,0.6037,,0.5855,0.555,0.0702,0.1333,0.0571,-0.2278,6.5344,0.8829,-28.28,,0.1233,-0.0518,2.3046603,,2.8104713,2.8711655
188,CRO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],2,cro.png,7.7105,0.7469,,0.8761,0.8357,0.1264,0.0,0.0941,2.2117,3.433,1.3105,-43.35,,8.478,0.2922,1.2472733,,1.6021181,2.1851134
189,HNT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],2,hnt.png,7.0816,0.6008,,0.5877,0.6068,0.0585,0.0111,-0.0772,0.2243,inf,0.5839,-43.75,,0.1456,0.0183,2.2168643,,2.3136427,2.9473069
190,MNT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],6,mnt.png,9.83,0.737,,0.8875,0.9333,0.2724,0.1111,-0.1959,0.6351,3.5413,2.4885,-18.59,,0.4766,-0.1327,1.8153536,,2.631516,2.9397345
191,PEAQ/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],1,peaq.png,13.7493,0.712,,0.7185,0.7228,0.0972,0.1556,0.1587,0.0815,2.4145,1.0719,-31.37,,1.2924,-0.0768,2.1495996,,2.4833,2.73645
192,REX/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],1,rex.png,273.5289,0.9862,,1.0083,1.0088,0.0529,0.0222,0.1419,-1.5092,7.66,0.1004,-96.63,,6.6829,0.2975,1.2110342,,1.8381509,2.2560139
193,SERAPH/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],1,seraph.png,287.8078,0.6603,,0.6718,0.701,0.0684,0.1111,-0.0757,-1.1289,11.4957,0.3279,-81.37,,20.2623,0.1095,0.40374866,,0.837531,1.2354858
194,SUNDOG/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],2,sundog.png,10.59,0.6088,,0.6826,0.6797,0.1978,0.0333,0.0671,0.1878,inf,0.3655,-54.49,,1.7757,-0.2838,1.5325391,,2.0820413,2.5922651
195,TSTBSC/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],2,tstbsc.png,17.1764,0.6257,,0.6986,0.7605,0.0569,0.1778,0.0758,0.987,6.3169,0.5331,-49.74,,10.1303,0.0817,0.5990774,,1.4383941,1.7185723
196,XAUT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],5,xaut.png,1.2993,0.6025,,0.6085,0.5883,0.4012,0.1778,-0.0395,0.5484,7.2068,0.82,-3.69,,0.319,0.0309,2.1209993,,2.540102,2.8898666
197,ZBCN/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['bybit'],2,zbcn.png,8.3905,0.8452,,0.9797,1.0813,0.0847,0.0667,0.2167,1.0996,3.5016,1.0471,-38.78,,2.3399,-0.0902,2.4548635,,2.522576,2.5928059
