id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
91,XAI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,xai.png,8.0874,0.5955,0.6224,0.5925,0.5747,0.1024,0.0889,-0.0816,0.1112,2.7496,0.4784,-40.79,,0.9627,-0.1008,2.5176556,2.4993863,2.4146814,2.7655149
92,BSW/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],5,bsw.png,9.0676,0.6699,0.7247,0.6672,0.6456,0.0374,0.0444,-0.0802,-0.1284,6.4083,0.5476,-63.0,,16.5123,0.2363,0.7656312,1.3686212,0.9193832,1.2450213
93,LOKA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,loka.png,0.0365,0.5624,0.6136,0.5722,0.5938,0.3159,0.0222,-0.1096,5.8359,3.6866,0.9145,-17.75,,54.8228,-0.2413,0.43405402,0.5328862,0.39383683,0.61586994
94,MEW/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,mew.png,7.0203,0.5268,0.5212,0.5123,0.4453,0.0524,0.0,-0.0219,0.153,10.3861,0.569,-41.29,,0.5165,-0.0269,2.008029,2.5917106,2.4430716,2.8126686
95,ALGO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,algo.png,5.5694,0.5738,0.6166,0.5957,0.5878,0.0017,0.0333,0.0056,0.8222,inf,0.6875,-36.35,,3.4535,-0.0793,2.029102,2.5392172,2.5423877,2.5176349
96,BIO/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,bio.png,12.5456,0.747,0.6814,0.8753,0.807,0.0728,0.1111,-0.0539,2.197,4.0106,1.3064,-54.59,,7.3124,0.1842,1.5132425,1.5556805,1.952166,2.354358
97,POPCAT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,popcat.png,8.8337,0.5991,0.6134,0.6183,0.5868,0.1074,0.0889,0.0249,-0.4051,3.686,0.4279,-56.65,,0.1385,-0.13,2.1104107,2.2614443,2.6406996,2.9221861
98,BOME/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,bome.png,8.5759,0.6182,0.6409,0.6302,0.6136,0.0194,0.0444,0.0509,0.217,2.9723,0.6312,-35.87,,0.2631,-0.0077,2.0276282,2.3868713,2.1964288,2.8346705
99,ATH/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,ath.png,11.2675,0.6283,0.6501,0.6231,0.5873,0.1465,0.0667,-0.2929,2.9494,5.1224,1.3045,-27.54,,19.0418,-0.0834,1.037016,1.7213417,1.5381366,1.7938007
100,GRIFFAIN/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,griffain.png,10.292,0.7371,0.7551,0.7686,0.7726,0.1056,0.0222,-0.0458,0.4041,6.4388,0.4148,-49.13,,2.547,-0.1005,1.644803,1.8249124,2.0509489,2.4330032
